Date,Start_time,End_time,Subject,Professor,Grupa,Auditorium
19-05-19,12:05,13:15,Computer Networks,Joanna Orzeł,2,3.28
19-05-19,16:05,17:25, Digital Signal Processing,Beata Orchel,2,3.27a
19-05-19,8:30,10:00,Digital Signal Processing,Beata Orchel,3,3.28
19-05-19,10:05,11:30,Computer Networks,Joanna Orzeł,3,2.41
19-05-19,12:45,14:50,Simulation of Electronic Circuits,Sergiusz Orlowski,3,2.41
19-05-19,15:50,17:00,Physics,Joanna Iwaniec,3,2.41
25-05-19,9:00,10:00,Physics ,Joanna Iwaniec,1,2.41
25-05-19,9:00,10:30,Computer Networks,Joanna Orzeł,2,3.27a
25-05-19,11:00,12:00,Physics,Joanna Iwaniec,3,2.26b
25-05-19,10:15,13:00,Circuits Theory ,Maciej Gierdziewicz,1,2.41
25-05-19,13:05,14:00,Information Technology,Bożena Giermek,2,3.28
25-05-19,14:05,15:25,Physics,Joanna Iwaniec,2,3.27a
25-05-19,15:00,16:00,Computer Networks,Joanna Orzeł,3,3.28
25-05-19,16:00,18:00,Information Technology,Bożena Giermek,1,2.41
25-05-19,13:15,14:50,Circuits Theory ,Maciej Gierdziewicz,3,2.41
26-05-19,8:00,10:00,Circuits Theory ,Joanna Iwaniec,1,2.41
26-05-19,10:30,12:30,Digital Signal Processing,Beata Orchel,1,3.27a
26-05-19,17:30,17:30,Computer Networks,Joanna Orzeł,1,2.26b
26-05-19,10:15,11:00,Circuits Theory ,Joanna Iwaniec,2,2.26b
26-05-19,12:05,13:15,Computer Networks,Joanna Orzeł,2,3.28
26-05-19,16:05,17:25, Digital Signal Processing,Beata Orchel,2,3.27a
26-05-19,8:30,10:00,Digital Signal Processing,Beata Orchel,3,3.28
26-05-19,10:05,11:30,Computer Networks,Joanna Orzeł,3,2.41
26-05-19,12:45,14:50,Circuits Theory ,Joanna Iwaniec,3,2.41
